Event,Hazard,S1 Hazard knowledge,S2 Actionable information,S3 Institutional activation,S4 Protective action,S5 Human protective action,"P1 institutional activation, time and relation to local impact",Break / connected-chain status,Analytical role
West Japan 2018,Rainfall flood and landslide,Observed,Observed,Observed,Observed,Observed (partial),"Fire and Disaster Management Agency, escalation to third-level structure (national); 3 Jul 11:30 / 6 Jul 09:00 / 6 Jul 20:30; Unresolved (multi-site impact window)",S4 → S5 conversion,Downstream-conversion case; pre-impact exposure evidence unresolved
Hagibis 2019,Typhoon and river flood,Observed,Observed,Observed,Observed (partial),Observed,"Fire and Disaster Management Agency, third-level structure and emergency fire-response readiness (national); 12 Oct 15:30; Pre-impact (landfall 12 Oct, evening)",No break assigned,Comparison case; pre-impact exposure evidence unresolved
Lekima 2019,Typhoon,Observed,Observed,Observed,Observed,Observed,"Zhejiang provincial flood- and typhoon-control headquarters, elevation to Level I (provincial); 9 Aug 11:50; Pre-impact (13 h 55 min before landfall)",No break assigned,Pre-impact protection reference case
Black Summer 2019–20,Wildfire season,Unresolved,Unresolved,Observed (partial),Unresolved,Observed (partial),Queensland state of fire emergency; first state-level declaration of the season (state); 9 Nov (date only); Unresolved (multiple fire phases; no single season-wide impact reference),No break assigned,Mechanism case; documented human action is post-impact
Zhengzhou 2021,Extreme urban rainfall,Observed,Observed,Observed (partial),Observed (partial),Observed (partial),Zhengzhou municipal Level I emergency response (municipal); 20 Jul 16:30; Locality-specific: post-impact in the mountainous districts; impact-overlapping in the urban core,S3 activation delay (secondary: S4 execution),Split sub-unit case; evidence differs between districts
Ahr valley 2021,Flash flood,Observed,Observed,Observed,Observed (partial),Observed (partial),District declaration of Alarmstufe 5 / Katastrophenfall (district); 14 Jul 22:04; Locality-specific: post-impact at Altenahr; impact-overlapping at Bad Neuenahr-Ahrweiler; pre-impact at Sinzig,S4 protective-action specification,Sub-unit case; aggregate pre-impact exposure reduction unresolved
BC heat dome 2021,Extreme heat,Observed,Observed,Observed,Observed (partial),Unresolved,Provincial health-authority emergency coordination centre and ambulance-service redeployment (health system); 25 Jun – 1 Jul (date only); Impact-overlapping (heat episode 25 Jun – 1 Jul),No break assigned,Comparison case; protective reach not measurable from the record
Osong 2023,Underpass inundation,Observed,Observed,Observed,Documented non-execution (not executed),Unresolved,Chungcheongbuk-do stage-3 emergency duty (provincial); 14 Jul 16:40; Pre-impact (15 h 47 min before inflow),S4 protective-action execution,Documented non-execution case
Maui 2023,Wind-driven wildfire,Observed,Observed,Observed,Observed (partial),Unresolved,"Maui Emergency Operations Center, full activation (county); 8 Aug 16:30; Impact-overlapping (afternoon re-ignition 14:55)",S2 authoritative-warning inadequacy (secondary: S4 → S5 conversion),Public-warning case; locality-specific timing not available
Valencia 2024,Extreme rainfall,Observed,Observed,Unresolved,Observed (partial),Unresolved,Regional civil-protection Situación Operativa 1 (regional); 29 Oct 14:00; Locality-specific: impact-overlapping at Utiel-Requena; pre-impact at Poyo / L'Horta Sud,No break assigned,Comparison case; response-side record of insufficient evidential grade
Blatten 2025,Rock–glacier collapse,Observed,Observed,Observed,Observed,Observed,"Cantonal declaration of besondere Lage, following the 19 May evacuation order (cantonal); 28 May, morning (before 15:24); Pre-impact (collapse 28 May 15:24)",Connected chain,Connected-chain comparator
