event_id,core_class,actual_human_action,human_action_evidence,human_action_timing_vs_local_impact,casualty_independent_exposure_evidence,exposure_before_local_impact,prohibited_use,source_id
LEKIMA2019,CORE_STRONG,OBSERVED,"By 21:30 on 9 Aug, Zhejiang reported 705,835 people transferred and 113,404 accommodated",PRE - 4 h 15 min before landfall at 2019-08-10T01:45,OBSERVED (provincial flood-control statistics independent of casualty counts),YES,Not admissible to calculate a ratio or percentage because equivalence between the 9 Aug transferred-person count and the 11 Aug cumulative emergency-relocation category (1.079 million) is unresolved,CN-ZJ-YJT|CN-MEM
BLATTEN2025,CORE_STRONG,OBSERVED,"Full preventive evacuation of Blatten and Ried ordered on 19 May; approximately 300 people actually evacuated (Fahrplan, 3 Sep 2025)",PRE - 9 days before the collapse at 2025-05-28T15:24,OBSERVED (count independent of the single recorded fatality),YES,"Not admissible to use the cumulative count of 365 on 30 May, which includes neighbouring Wiler and Kippel, as the pre-impact exposure count; primary evidence for the 108 (92+16) figure was not obtained",CH-VS-FAHRPLAN-20250903|CH-VS-LAGEBERICHT-20250530
WJAPAN2018,CORE_CANDIDATE_MABI,OBSERVED,"Peak evacuation-shelter occupancy of approximately 42,000 people (7 Jul 2018)",UNRESOLVED - peak count cannot be temporally decomposed relative to the Oda River levee breach before dawn on 7 Jul,OBSERVED (independent of casualty counts),UNRESOLVED,Not admissible as evidence of pre-impact exposure reduction because this is a post/peak shelter count; Mabi requires sub-unit reconstruction,JP-CAO-WG1
HAGIBIS2019,CORE_CANDIDATE,OBSERVED,"Peak evacuation-shelter occupancy exceeding 237,000 people",UNRESOLVED - peak count cannot be temporally decomposed relative to landfall before 19:00 on 12 Oct,OBSERVED,UNRESOLVED,Not admissible as evidence of pre-impact exposure reduction because this is a peak shelter count,JP-CAO-BOUSAI-R02
BLACKSUMMER2019,MECHANISM_CASE_MALLACOOTA,OBSERVED,"More than 1,100 people evacuated from Mallacoota by sea and air (HMAS Choules and MV Sycamore), with 527 evacuees received",POST or IMPACT_OVERLAP - evacuation occurred after fire had already isolated the town,OBSERVED,NO,Not admissible as evidence of pre-impact exposure reduction because the maritime evacuation occurred after or during local impact; retained as mechanism evidence,AU-RC-NNDA-CH5|CH7
AHR2021,CORE_CANDIDATE_SUBUNIT,OBSERVED,"GStA: approximately 500 actual evacuations, beginning around 00:00 and continuing until 02:11 on 15 Jul 2021","IMPACT_OVERLAP relative to Sinzig (~02:00); evacuations at 00:07, 00:18 and 00:30 in Bad Bodendorf require their own locality reference",OBSERVED (independent of the 135-fatality count),LOCALITY_DEPENDENT,"Not admissible to treat all approximately 500 evacuations as pre-impact exposure reduction; the approximately 2,000-person planning target is separate and aggregate pre-impact exposure reduction remains UNRESOLVED",DE-GSTA-20251027
ZHENGZHOU2021,SPLIT_SUBUNIT_CASE,OBSERVED,"Approximately 98,000 people transferred downstream of Guojiazui Reservoir; no dam-break fatalities in this sub-unit",PRE before reservoir overtopping at 2021-07-21T00:40 (Guojiazui sub-unit only),OBSERVED,YES (Guojiazui sub-unit only),"Not admissible to combine the approximately 98,000-person Guojiazui transfer with the city-wide failure outcome; it is a separate sub-unit",CN-STATECOUNCIL-20220121
OSONG2023,UNRESOLVED,UNRESOLVED,Nine people rescued (L4); no evidence of pre-impact avoidance by residents or drivers,UNRESOLVED,UNRESOLVED,NO,Not admissible to use 17 vehicles as an exposure denominator; 14 deaths and 16 injuries are contextual only and denominator search was closed,KR-OPM-PR-20230728|L4
MAUI2023,UNRESOLVED,UNRESOLVED,UNRESOLVED - locality-specific evacuation completion timing unavailable,UNRESOLVED - remaining evidence blocker is locality-specific evacuation completion relative to fire arrival,UNRESOLVED,UNRESOLVED,Phase One spreadsheet search was stopped under the prespecified stop rule; the break assignment is supported independently by Phase Two findings,US-HIAG-FSRI-PHASE2
VALENCIA2024,UNRESOLVED,UNRESOLVED,UME rescue activity is documented; evidence of actual resident movement is unavailable,UNRESOLVED,UNRESOLVED,UNRESOLVED,Not admissible to reuse UME activity documented for Utiel-Requena as local P2 or exposure evidence for Poyo or L'Horta Sud,ES-AEMET|ES-MDEF-UME
BCHEAT2021,UNRESOLVED,UNRESOLVED,Fifty per cent of deaths (308) were identified through wellness checks; this is not evidence of protective reach,UNRESOLVED,UNRESOLVED,UNRESOLVED,Not admissible to infer absence of protective reach from characteristics of decedents (56.1% living alone; 66.9% without air conditioning),BCCS-DRP-20220607
